"S Schichauweg (Berlin)","13.389386","52.398554","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Schlachtensee (Berlin)","13.215669","52.440127","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Schöneberg (Berlin)","13.351586","52.479268","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Schöneweide Bhf (Berlin)","13.509338","52.455091","teilweise Zugang ohne Stufen","Aufzug","nur S-Bahn","partially-barrier-free",,,,,,,,
"S Schönholz (Berlin)","13.381672","52.57111",,"Treppe",,"not-barrier-free",,,,,,,,
"S Schulzendorf (Berlin)","13.246261","52.613374","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Sonnenallee (Berlin)","13.455353","52.472827","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Spandau Bhf (Berlin)","13.198304","52.53445","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Spindlersfeld (Berlin)","13.561537","52.446955","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Springpfuhl (Berlin)","13.53686","52.52631","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Storkower Str. (Berlin)","13.464337","52.523901","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Stresow (Berlin)","13.209765","52.531849","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Südende (Berlin)","13.353488","52.447939","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Südkreuz Bhf (Berlin)","13.364881","52.476499","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Sundgauer Str. (Berlin)","13.273492","52.436177","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Tegel (Berlin)","13.289441","52.58857","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Tiergarten (Berlin)","13.336805","52.515024","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Treptower Park (Berlin)","13.462444","52.494352","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Unter den Linden (Berlin)","13.38321","52.561833",,"Treppe",,"not-barrier-free",,,,,,,,
"S Waidmannslust (Berlin)","13.321614","52.605915","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Wannsee Bhf (Berlin)","13.178488","52.421078","teilweise Zugang ohne Stufen","Aufzug","nur S-Bahn","partially-barrier-free",,,,,,,,
"S Wartenberg (Berlin)","13.50313","52.573556","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S Westend (Berlin)","13.28429","52.518186","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Westkreuz (Berlin)","13.283027","52.501142","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Wilhelmshagen (Berlin)","13.72228","52.438566",,"Treppe",,"not-barrier-free",,,,,,,,
"S Wilhelmsruh (Berlin)","13.363093","52.581258",,"Treppe",,"not-barrier-free",,,,,,,,
"S Wollankstr. (Berlin)","13.391511","52.565659","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S Wuhlheide (Berlin)","13.553346","52.469271",,"Treppe",,"not-barrier-free",,,,,,,,
