lat	lon	title	description	icon	iconSize	iconOffset
43.6977867	-79.3971559	Davisville	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6882809	-79.3939361	St. Clair	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6890466	-79.3015933	Main Street	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6864204	-79.3003512	Danforth	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.7324189	-79.2637504	Kennedy	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6766572	-79.4117487	Tim Hortons	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6655206	-79.4118840	Bathurst	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6707786	-79.3857213	Bloor-Yonge	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6673027	-79.4038442	Spadina	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6683893	-79.3990009	St. George	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6686535	-79.3978374	St. George	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6600734	-79.3900500	Queen's Park	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6598508	-79.3904397	Queen's Park	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6706520	-79.3856970	Bloor-Yonge	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6569642	-79.4527875	Dundas West	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6558654	-79.3811182	Dundas	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6508967	-79.3866214	Osgoode	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6523727	-79.3791920	Queen	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6507317	-79.3859661	Osgoode	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6525783	-79.3789982	Queen	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6524603	-79.3795046	Queen	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6456639	-79.3800222	Union	wheelchair node	/images/barrier-free.png	28,34	-8,-8
43.6769167	-79.3582604	Broadview	wheelchair node	/images/barrier-free.png	28,34	-8,-8
42.0186313	-87.6723451	Howard - CTA Purple/Red/Yellow	wheelchair node	/images/barrier-free.png	28,34	-8,-8
42.0185803	-87.6724567		wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9678217	-87.7131292	Kimball	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9660849	-87.7085869	Kedzie	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9661231	-87.7012823	Francisco	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9662954	-87.6884506	Western	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9664103	-87.6789234	Damen	wheelchair node	/images/barrier-free.png	28,34	-8,-8
